,UAV_1_new_velocity_twist,actual_UAV_1_pose,actual_UAV_1_vel,goal_UAV_1_pose
0,"linear: 
  x: 1.00898969173
  y: -0.407117843628
  z: 0.0021151417692776586
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -3.60714244063
  y: 3.32548735984
  z: 4.98993968964
orientation: 
  x: -0.0101157701549
  y: 0.00463185049838
  z: 0.0122115855492
  w: 0.999863537856","linear: 
  x: -0.0383371934295
  y: 0.0469938404858
  z: 0.0371827371418
angular: 
  x: 0.00536561943591
  y: -0.0486864335835
  z: 0.0381043702364","position: 
  x: 4.19239411648
  y: -2.12040968298
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
1,"linear: 
  x: 1.00880885124
  y: -0.40711453557
  z: 0.0007214963131112907
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -3.60793803412
  y: 3.32495217532
  z: 4.99656820297
orientation: 
  x: -0.0052342935605
  y: 0.0175534513537
  z: 0.0118437281663
  w: 0.999762074005","linear: 
  x: -0.00988199096173
  y: 0.0263492874801
  z: 0.0188685636967
angular: 
  x: 0.28675571084
  y: 0.718164741993
  z: -0.0655429065228","position: 
  x: 4.19239411648
  y: -2.12040968298
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
2,"linear: 
  x: 1.00617313385
  y: -0.400987178087
  z: -0.0007808014588249985
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -3.59010676447
  y: 3.31512706861
  z: 5.00370597839
orientation: 
  x: 0.020976283458
  y: 0.0794390457093
  z: 0.0100993541776
  w: 0.996567828396","linear: 
  x: 0.134303301573
  y: -0.0396114774048
  z: 0.0210115853697
angular: 
  x: 0.0937718451023
  y: 0.248538285494
  z: -0.034371368587","position: 
  x: 4.19239411648
  y: -2.12040968298
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
3,"linear: 
  x: 0.999555230141
  y: -0.382650315762
  z: -0.0025805367559426063
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -3.53365701589
  y: 3.28792515159
  z: 5.01216840744
orientation: 
  x: 0.0193446338647
  y: 0.0776540599381
  z: 0.0108148810921
  w: 0.996734001859","linear: 
  x: 0.350852310658
  y: -0.13038623333
  z: 0.0104774460196
angular: 
  x: -0.0399744585156
  y: -0.149095773697
  z: 0.0622360035777","position: 
  x: 4.19239411648
  y: -2.12040968298
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
4,"linear: 
  x: 0.991657376289
  y: -0.353749632835
  z: -0.0030816021811475537
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -3.44213695976
  y: 3.24699042127
  z: 5.01437950134
orientation: 
  x: 0.0140020734551
  y: 0.0643836418158
  z: 0.0112476451905
  w: 0.997763588774","linear: 
  x: 0.496885210276
  y: -0.186440944672
  z: 0.00434425333515
angular: 
  x: -0.0940725058317
  y: -0.0564063750207
  z: -0.0387324430048","position: 
  x: 4.19239411648
  y: -2.12040968298
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
5,"linear: 
  x: 0.985624551773
  y: -0.318568587303
  z: -0.004582156033305823
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -3.33003665659
  y: 3.19750608638
  z: 5.02110624313
orientation: 
  x: 0.00954933790655
  y: 0.0585557019108
  z: 0.0106907588578
  w: 0.998181219816","linear: 
  x: 0.549785077572
  y: -0.213168129325
  z: 0.0030031837523
angular: 
  x: -0.0239284876734
  y: 0.000782058574259
  z: -0.0159946456552","position: 
  x: 4.19239411648
  y: -2.12040968298
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
6,"linear: 
  x: 0.984411478043
  y: -0.280982166529
  z: -0.0068896871085081645
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -3.20764894935
  y: 3.14499826864
  z: 5.03128671646
orientation: 
  x: 0.00620521179273
  y: 0.0537183849948
  z: 0.011413113282
  w: 0.998471617676","linear: 
  x: 0.592005372047
  y: -0.222025498748
  z: 0.00160842796322
angular: 
  x: 0.00252215377986
  y: -0.0730891153216
  z: 0.0203769654036","position: 
  x: 4.19239411648
  y: -2.12040968298
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
7,"linear: 
  x: 0.988571166992
  y: -0.248555123806
  z: -0.008603651135335247
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -3.09849630448
  y: 3.09931092099
  z: 5.03857374191
orientation: 
  x: 0.00355317921599
  y: 0.0533482697219
  z: 0.0112852391695
  w: 0.998505874","linear: 
  x: 0.604546844959
  y: -0.221904680133
  z: -3.44647414749e-05
angular: 
  x: 0.051258303225
  y: -0.03562502563
  z: 0.0406234413385","position: 
  x: 4.19239411648
  y: -2.12040968298
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
8,"linear: 
  x: 0.981589198112
  y: -0.212768226862
  z: -0.010821106348785609
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -2.96674518439
  y: 3.04766029254
  z: 5.04777383804
orientation: 
  x: 0.00130310141068
  y: 0.0530611704443
  z: 0.0116083789764
  w: 0.998522938973","linear: 
  x: 0.625288367271
  y: -0.215720385313
  z: -0.00363666121848
angular: 
  x: -0.0601219125092
  y: -0.0142346639186
  z: -0.0202792659402","position: 
  x: 4.19239411648
  y: -2.12040968298
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
9,"linear: 
  x: 0.949662685394
  y: -0.179759800434
  z: -0.013990844187651601
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -2.83528636548
  y: 2.99964580074
  z: 5.06082677841
orientation: 
  x: -0.000654435181407
  y: 0.0546555319163
  z: 0.0112165406426
  w: 0.998442053282","linear: 
  x: 0.630380630493
  y: -0.203044831753
  z: -0.0022743307054
angular: 
  x: -0.0114279417321
  y: 0.0611531175673
  z: -0.0460668504238","position: 
  x: 4.19239411648
  y: -2.12040968298
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
10,"linear: 
  x: 0.912806510925
  y: -0.14985370636
  z: -0.017688697531680897
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -2.63522033545
  y: 2.93226510421
  z: 5.07512569427
orientation: 
  x: -0.00220063173457
  y: 0.0543526970285
  z: 0.0117178348461
  w: 0.998450616652","linear: 
  x: 0.642206788063
  y: -0.177637293935
  z: -0.0145566947758
angular: 
  x: -0.0253457278013
  y: -0.0357154421508
  z: 0.0292851962149","position: 
  x: 4.19239411648
  y: -2.12040968298
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
