,UAV_1_new_velocity_twist,actual_UAV_1_pose,actual_UAV_1_vel,goal_UAV_1_pose
11,"linear: 
  x: 0.866703212261
  y: -0.100364148617
  z: -0.019328653677808248
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -2.496193634
  y: 2.88915163413
  z: 5.08076477051
orientation: 
  x: -0.00436874464032
  y: 0.0522108007229
  z: 0.011892786671
  w: 0.998555711006","linear: 
  x: 0.643970370293
  y: -0.164176955819
  z: -0.0175464302301
angular: 
  x: -0.0519293211401
  y: -0.0650985464454
  z: -0.0163492225111","position: 
  x: 4.19239411648
  y: -2.12040968298
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
12,"linear: 
  x: 0.866497397423
  y: -0.0668442845345
  z: -0.018883204158724187
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -2.35829745385
  y: 2.85024058953
  z: 5.0776424408
orientation: 
  x: -0.00574241337711
  y: 0.050024516819
  z: 0.0118086199234
  w: 0.998661668885","linear: 
  x: 0.643149554729
  y: -0.155011773109
  z: -0.0169999953359
angular: 
  x: -0.0371517650783
  y: -0.0810630097985
  z: -0.0323582552373","position: 
  x: 4.19239411648
  y: -2.12040968298
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
13,"linear: 
  x: 0.926166117191
  y: -0.0353844165802
  z: -0.018979252514608753
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -2.21618555638
  y: 2.81587779656
  z: 5.07676792145
orientation: 
  x: -0.00868471057016
  y: 0.0488566026524
  z: 0.0121129613545
  w: 0.998694590126","linear: 
  x: 0.638367295265
  y: -0.12936770916
  z: -0.017192164436
angular: 
  x: -0.00817888695747
  y: 0.0734280645847
  z: 0.0255429316312","position: 
  x: 4.19239411648
  y: -2.12040968298
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
14,"linear: 
  x: 1.00196194649
  y: -0.0193214714527
  z: -0.019593632829419363
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -2.07900951955
  y: 2.7872460498
  z: 5.07801961899
orientation: 
  x: -0.00924403482469
  y: 0.052209549151
  z: 0.0123231898864
  w: 0.998517325733","linear: 
  x: 0.632438480854
  y: -0.103209704161
  z: -0.0153842912987
angular: 
  x: -0.0130039826035
  y: 0.013151763007
  z: -0.00323159317486","position: 
  x: 4.19239411648
  y: -2.12040968298
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
15,"linear: 
  x: 1.09691011906
  y: -0.023757904768
  z: -0.021098709803581882
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -1.93837963197
  y: 2.76218772069
  z: 5.08268499374
orientation: 
  x: -0.0102727011979
  y: 0.0572601870205
  z: 0.0123412289223
  w: 0.99823015215","linear: 
  x: 0.655117332935
  y: -0.0968314558268
  z: -0.0151513824239
angular: 
  x: -0.0273561142385
  y: 0.0240262746811
  z: -0.00531120039523","position: 
  x: 4.19239411648
  y: -2.12040968298
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
16,"linear: 
  x: 1.2091486454
  y: -0.0576269626617
  z: -0.02360086264693274
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -1.79271648976
  y: 2.73996091023
  z: 5.09098815918
orientation: 
  x: -0.0100225488228
  y: 0.0642932873399
  z: 0.0131112514153
  w: 0.997794576456","linear: 
  x: 0.687893331051
  y: -0.0740379318595
  z: -0.0140573782846
angular: 
  x: 0.0264450851828
  y: 0.21163380146
  z: -0.0064703784883","position: 
  x: 4.19239411648
  y: -2.12040968298
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
17,"linear: 
  x: 1.3073130846
  y: -0.114267587662
  z: -0.02616358989052399
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -1.64240132424
  y: 2.72365367547
  z: 5.09921455383
orientation: 
  x: -0.0077999799349
  y: 0.0718800982868
  z: 0.0126811010775
  w: 0.997302161563","linear: 
  x: 0.73326343298
  y: -0.062325309962
  z: -0.0174121521413
angular: 
  x: 0.0370520204306
  y: 0.0512730926275
  z: -0.0314109772444","position: 
  x: 4.19239411648
  y: -2.12040968298
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
18,"linear: 
  x: 1.28457760811
  y: -0.0996106117964
  z: -0.029255769310052943
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -1.47881733033
  y: 2.70824438468
  z: 5.10896587372
orientation: 
  x: -0.00526466522016
  y: 0.0768153472603
  z: 0.0128904862944
  w: 0.996948103508","linear: 
  x: 0.803426861763
  y: -0.0760589540005
  z: -0.0233901180327
angular: 
  x: 0.00641900114715
  y: 0.0553775168955
  z: 0.0839690417051","position: 
  x: 4.19239411648
  y: -2.12040968298
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
19,"linear: 
  x: 1.25971996784
  y: -0.0843999087811
  z: -0.03248618381378708
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -1.30694757554
  y: 2.69204330579
  z: 5.11871528625
orientation: 
  x: -0.00213509085724
  y: 0.0788930367434
  z: 0.0129684588481
  w: 0.99679644322","linear: 
  x: 0.85802847147
  y: -0.0853039175272
  z: -0.0274671465158
angular: 
  x: 0.0134355397895
  y: 0.0248319394886
  z: -0.0745584517717","position: 
  x: 4.19239411648
  y: -2.12040968298
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
20,"linear: 
  x: 1.37705695629
  y: -0.182924956083
  z: -0.034920436943278246
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -1.12601410004
  y: 2.67474597827
  z: 5.12505054474
orientation: 
  x: -0.00429915761635
  y: 0.0752259280277
  z: 0.011483625224
  w: 0.997091120885","linear: 
  x: 0.897004842758
  y: -0.0927812904119
  z: -0.0338799953461
angular: 
  x: 0.00206593004987
  y: -0.0520192869008
  z: -0.0584891103208","position: 
  x: 4.19239411648
  y: -2.12040968298
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
21,"linear: 
  x: 1.5175768137
  y: -0.386302888393
  z: -0.03781147404846218
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -0.937770472497
  y: 2.65668082372
  z: 5.13255167007
orientation: 
  x: -0.00324744621971
  y: 0.0759754195486
  z: 0.0125510783419
  w: 0.99702540597","linear: 
  x: 0.922808110714
  y: -0.0958235636353
  z: -0.0337268002331
angular: 
  x: 0.0922241657972
  y: 0.0917367637157
  z: 0.115950502455","position: 
  x: 4.19239411648
  y: -2.12040968298
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
22,"linear: 
  x: 1.59144163132
  y: -0.626607835293
  z: -0.04071125843357219
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -0.747318612069
  y: 2.63765484229
  z: 5.13963937759
orientation: 
  x: 0.00772116858233
  y: 0.0855639718747
  z: 0.011386097976
  w: 0.996237696057","linear: 
  x: 0.954608976841
  y: -0.12070775032
  z: -0.0368273332715
angular: 
  x: 0.170020833611
  y: 0.147387444973
  z: -0.0930735319853","position: 
  x: 4.19239411648
  y: -2.12040968298
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
23,"linear: 
  x: 1.57028985023
  y: -0.627805829048
  z: -0.04278783129144558
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -0.537833796471
  y: 2.60949897901
  z: 5.14314365387
orientation: 
  x: 0.0165441491654
  y: 0.0925107943943
  z: 0.0106882716178
  w: 0.995516853147","linear: 
  x: 1.00919234753
  y: -0.172097295523
  z: -0.0378174632788
angular: 
  x: 0.0705355107784
  y: 0.0186380930245
  z: 0.0160799492151","position: 
  x: 4.19239411648
  y: -2.12040968298
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
24,"linear: 
  x: 1.55925798416
  y: -0.652947545052
  z: -0.044221520914504424
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -0.356280432671
  y: 2.57701403037
  z: 5.14461374283
orientation: 
  x: 0.0287206088404
  y: 0.0948164183864
  z: 0.00950011032412
  w: 0.99503503523","linear: 
  x: 1.05679786205
  y: -0.234591260552
  z: -0.044472463429
angular: 
  x: 0.174358561635
  y: -0.0280361957848
  z: -0.0232274401933","position: 
  x: 4.19239411648
  y: -2.12040968298
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
25,"linear: 
  x: 1.55990338326
  y: -0.982150197029
  z: -0.04649904647878978
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -0.134183274239
  y: 2.52469796077
  z: 5.14762639999
orientation: 
  x: 0.0291310555206
  y: 0.0919726533661
  z: 0.00870989894679
  w: 0.995297217065","linear: 
  x: 1.11086773872
  y: -0.311211138964
  z: -0.0488988682628
angular: 
  x: -0.0997548922896
  y: -0.0258093960583
  z: 0.00724257575348","position: 
  x: 4.19239411648
  y: -2.12040968298
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
26,"linear: 
  x: 1.43742609024
  y: -1.32748532295
  z: -0.049300271829285154
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: 0.103009833366
  y: 2.4573681368
  z: 5.15135669708
orientation: 
  x: 0.0265841156492
  y: 0.0898654090546
  z: 0.0088925631838
  w: 0.99555934799","linear: 
  x: 1.13367986679
  y: -0.369286715984
  z: -0.0490043722093
angular: 
  x: -0.0660537779331
  y: -0.00975732505322
  z: 0.0857089236379","position: 
  x: 4.19239411648
  y: -2.12040968298
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
27,"linear: 
  x: 1.39776742458
  y: -1.37243783474
  z: -0.05163808423667289
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: 0.343504561454
  y: 2.37902683154
  z: 5.15292692184
orientation: 
  x: 0.0434753740749
  y: 0.0903916852675
  z: 0.00692957393008
  w: 0.994932769633","linear: 
  x: 1.15121889114
  y: -0.431464880705
  z: -0.0529054477811
angular: 
  x: 0.155971050262
  y: 0.00024836556986
  z: -0.0724737942219","position: 
  x: 4.19239411648
  y: -2.12040968298
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
28,"linear: 
  x: 1.31167781353
  y: -1.48742604256
  z: -0.053501944370616714
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: 0.5911041632
  y: 2.28128928081
  z: 5.15219259262
orientation: 
  x: 0.0654074724533
  y: 0.0834492557327
  z: 0.00504611544062
  w: 0.994350351226","linear: 
  x: 1.15406107903
  y: -0.548071146011
  z: -0.0567546747625
angular: 
  x: 0.259337723255
  y: -0.0642333477736
  z: 0.0111772147939","position: 
  x: 4.19239411648
  y: -2.12040968298
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
29,"linear: 
  x: 1.23453903198
  y: -1.57248294353
  z: -0.05666262479539328
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: 0.833149088889
  y: 2.15839856998
  z: 5.15418195724
orientation: 
  x: 0.0707754857254
  y: 0.0785258129022
  z: 0.00424132157123
  w: 0.99438751929","linear: 
  x: 1.14067101479
  y: -0.690516233444
  z: -0.0588442906737
angular: 
  x: -0.0869305506349
  y: 0.0256884600967
  z: -0.0421997308731","position: 
  x: 4.19239411648
  y: -2.12040968298
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
30,"linear: 
  x: 1.19008660316
  y: -1.60632801056
  z: -0.058344868799809484
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: 1.19789184478
  y: 1.92144149676
  z: 5.14680767059
orientation: 
  x: 0.0719761801575
  y: 0.074351725711
  z: 0.00374247131854
  w: 0.99462417238","linear: 
  x: 1.09308683872
  y: -0.859698653221
  z: -0.0674720555544
angular: 
  x: 0.0285707060248
  y: -0.0275646969676
  z: 0.0590365454555","position: 
  x: 4.19239411648
  y: -2.12040968298
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
31,"linear: 
  x: 1.16279578209
  y: -1.62621974945
  z: -0.057579889863155334
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: 1.43341411498
  y: 1.7381420745
  z: 5.13662052155
orientation: 
  x: 0.0725148467019
  y: 0.0717152109752
  z: 0.00405048048218
  w: 0.994777421904","linear: 
  x: 1.05990111828
  y: -0.932745039463
  z: -0.0679265782237
angular: 
  x: -0.0344167277217
  y: -0.106337860227
  z: -0.0205723475665","position: 
  x: 4.19239411648
  y: -2.12040968298
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
32,"linear: 
  x: 1.13729226589
  y: -1.6440860033
  z: -0.05956109757607628
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: 1.65977729705
  y: 1.54077738658
  z: 5.13263559341
orientation: 
  x: 0.0720069513413
  y: 0.0713415834907
  z: 0.00452766705647
  w: 0.994839121494","linear: 
  x: 1.0362842083
  y: -1.00656962395
  z: -0.0640219599009
angular: 
  x: 0.0358325317502
  y: 0.0578885152936
  z: 0.033179089427","position: 
  x: 4.19239411648
  y: -2.12040968298
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
33,"linear: 
  x: 1.1126127243
  y: -1.66071772575
  z: -0.06410479347342797
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: 1.8790284529
  y: 1.33258623019
  z: 5.13328790665
orientation: 
  x: 0.0721272008229
  y: 0.0721395053844
  z: 0.00474160452262
  w: 0.99477187126","linear: 
  x: 1.01510417461
  y: -1.04147219658
  z: -0.0696577131748
angular: 
  x: 0.0284592360258
  y: 0.0273818336427
  z: -0.00359848211519","position: 
  x: 4.19239411648
  y: -2.12040968298
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
34,"linear: 
  x: 1.08652341366
  y: -1.67769014835
  z: -0.06944628746041229
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: 2.10288728622
  y: 1.10597723857
  z: 5.13355302811
orientation: 
  x: 0.0728070755004
  y: 0.072157384855
  z: 0.00462220258843
  w: 0.994721607693","linear: 
  x: 1.00222933292
  y: -1.08194983006
  z: -0.0746097117662
angular: 
  x: 0.0381242744625
  y: 0.0397362969816
  z: -0.0544295832515","position: 
  x: 4.19239411648
  y: -2.12040968298
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
35,"linear: 
  x: 1.0601965189
  y: -1.69422733784
  z: -0.074680356649975
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: 2.31555808929
  y: 0.878833235655
  z: 5.13220453262
orientation: 
  x: 0.0738148306213
  y: 0.0711883076337
  z: 0.00430167574498
  w: 0.994718599013","linear: 
  x: 0.990691781044
  y: -1.10952842236
  z: -0.0789746567607
angular: 
  x: 0.00463724741712
  y: -0.0132467309013
  z: -0.0853133797646","position: 
  x: 4.19239411648
  y: -2.12040968298
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
36,"linear: 
  x: 1.03119421005
  y: -1.71177792549
  z: -0.08034218730359212
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: 2.53339876083
  y: 0.633515299711
  z: 5.1292552948
orientation: 
  x: 0.0760319181728
  y: 0.0705853572954
  z: 0.00516804659809
  w: 0.994590441362","linear: 
  x: 0.975360393524
  y: -1.13030910492
  z: -0.0867917910218
angular: 
  x: -0.0577955916524
  y: -0.0510577373207
  z: -0.0317639745772","position: 
  x: 4.19239411648
  y: -2.12040968298
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
37,"linear: 
  x: 0.984765470028
  y: -1.70223724842
  z: -0.08793465130910055
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: 2.74052823928
  y: 0.38924402133
  z: 5.12964439392
orientation: 
  x: 0.0767087068354
  y: 0.0693483386082
  z: 0.00520007770079
  w: 0.994625327156","linear: 
  x: 0.964875340462
  y: -1.16801214218
  z: -0.0892050787807
angular: 
  x: -0.0176939889789
  y: 0.00909012183547
  z: 0.0437679775059","position: 
  x: 4.19239411648
  y: -2.12040968298
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
38,"linear: 
  x: 0.938755393028
  y: -1.7022138834
  z: -0.09460681059301503
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: 2.9492408171
  y: 0.133758725081
  z: 5.12528371811
orientation: 
  x: 0.078150047638
  y: 0.0686885057365
  z: 0.00551584225954
  w: 0.994557205352","linear: 
  x: 0.956559181213
  y: -1.18717563152
  z: -0.10279110074
angular: 
  x: -0.0150796184316
  y: -0.0446362681687
  z: -0.0239819809794","position: 
  x: 4.19239411648
  y: -2.12040968298
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
39,"linear: 
  x: 0.880462169647
  y: -1.69055855274
  z: -0.1001807984347399
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: 3.15254081634
  y: -0.123807250109
  z: 5.11831665039
orientation: 
  x: 0.0785065427101
  y: 0.0653922010299
  z: 0.00559832349342
  w: 0.994750843966","linear: 
  x: 0.94061434269
  y: -1.20911383629
  z: -0.11394815892
angular: 
  x: 0.0269556753337
  y: 0.0223643705249
  z: -0.0482803545892","position: 
  x: 4.19239411648
  y: -2.12040968298
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
40,"linear: 
  x: 0.803608238697
  y: -1.65857756138
  z: -0.10776703434410165
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: 3.35171331313
  y: -0.38531762227
  z: 5.11273860931
orientation: 
  x: 0.0788927516127
  y: 0.0648963195058
  z: 0.00479896653373
  w: 0.994756940854","linear: 
  x: 0.921652078629
  y: -1.22098565102
  z: -0.104419179261
angular: 
  x: 0.018002897501
  y: -0.00592436734587
  z: 0.00487448833883","position: 
  x: 4.19239411648
  y: -2.12040968298
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
41,"linear: 
  x: 0.698918223381
  y: -1.58975040913
  z: -0.11397615938731201
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: 3.54962123778
  y: -0.658366738405
  z: 5.10482025146
orientation: 
  x: 0.0791680731379
  y: 0.0618722681356
  z: 0.00633353293695
  w: 0.994919155003","linear: 
  x: 0.904796481133
  y: -1.23724448681
  z: -0.115202665329
angular: 
  x: -0.0192356128246
  y: -0.0137580754235
  z: 0.00225281831808","position: 
  x: 4.19239411648
  y: -2.12040968298
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
42,"linear: 
  x: 0.588149905205
  y: -1.49457943439
  z: -0.11935124096949082
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: 3.70445312408
  y: -0.880476533022
  z: 5.09901618958
orientation: 
  x: 0.0783823365312
  y: 0.0580881575206
  z: 0.00620186659159
  w: 0.99521028538","linear: 
  x: 0.882412195206
  y: -1.24539470673
  z: -0.124105490744
angular: 
  x: -0.0269774086773
  y: -0.0106151569635
  z: -0.0431904494762","position: 
  x: 4.19239411648
  y: -2.12040968298
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
43,"linear: 
  x: 0.411564916372
  y: -1.30932116508
  z: -0.1303729905369059
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: 3.88908828643
  y: -1.15549570188
  z: 5.09607934952
orientation: 
  x: 0.0740098691675
  y: 0.0523326226579
  z: 0.00679803383407
  w: 0.995860242508","linear: 
  x: 0.840138614178
  y: -1.24824488163
  z: -0.132856011391
angular: 
  x: -0.0230979919434
  y: -0.042163413018
  z: 0.070751093328","position: 
  x: 4.19239411648
  y: -2.12040968298
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
44,"linear: 
  x: -1.79953491688
  y: 0.811212718487
  z: -0.012097347558616528
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: 4.55588210967
  y: -2.74674039945
  z: 5.0615978241
orientation: 
  x: -0.0467947217491
  y: -0.00730717943118
  z: 0.0124260286741
  w: 0.998800507087","linear: 
  x: -0.190702006221
  y: 0.35702675581
  z: -0.105860233307
angular: 
  x: 0.0203825309873
  y: -0.00031561544165
  z: -0.00667552929372","position: 
  x: -4.72165083813
  y: 1.45220570251
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
